Date,Variation %,weekly_mean
2021-01-08,0.0,11266.128
2021-01-15,0.5271287526646073,11325.515
2021-01-22,1.6152289763423644,11508.448
2021-01-29,1.3823062849134926,11667.53
2021-02-05,0.37006975769506845,11710.708
2021-02-12,-0.8271233472818107,11613.846000000001
2021-02-19,-0.6963584672984413,11532.972
2021-02-26,-1.4417619326570819,11366.694
2021-03-05,-0.12619324493119422,11352.35
2021-03-12,0.09763617224627374,11363.434
2021-03-19,1.0755375531727562,11485.652
2021-03-26,-0.30801908328755845,11450.274000000001
2021-04-02,0.6269718960437043,11522.064
2021-04-09,0.21442338803185912,11546.77
2021-04-16,0.7167891973253182,11629.536
2021-04-23,0.6081068066688067,11700.256
2021-04-30,0.6281401022336652,11773.75
2021-05-07,1.4846077078246145,11948.544
2021-05-21,1.6681697786776306,12147.866
2021-05-28,-0.2948007493661864,12112.054
2021-06-04,1.2413584021339297,12262.408
2021-06-11,1.0304990667412195,12388.772
2021-06-18,0.8163520968825555,12489.908
2021-06-25,0.03636535993700729,12494.45
2021-07-02,-0.5395515608930368,12427.036
2021-07-09,-1.4940972247927897,12241.364
2021-07-16,-0.4721532665804107,12183.566
2021-07-23,-0.08439784104807835,12173.283333333333
2021-08-06,2.359237510559331,12460.48
2021-08-13,0.7451759482780762,12553.3325
2021-08-27,1.239395993056025,12708.918
2021-09-03,0.17693087641292848,12731.404
2021-09-10,0.5422497000330706,12800.439999999999
2021-09-17,0.9436394373943502,12921.23
2021-09-24,0.7236772350619924,13014.738000000001
2021-10-01,1.0872904241330028,13156.246
2021-10-08,-0.41510321409313766,13101.634
2021-10-15,0.8697846390763209,13215.59
2021-10-22,0.6056483289811343,13295.63
2021-10-29,1.6241877970430973,13511.576000000001
2021-11-05,0.003596915711390203,13512.062
2021-11-12,-1.153384287313064,13356.216
2021-11-19,-0.4406450150252206,13297.3625
2021-11-26,0.0871263004223577,13308.948
2021-12-03,-1.1004175536638905,13162.494
2021-12-10,0.6735349698924864,13251.148000000001
2021-12-17,0.23303641314698087,13282.028
2021-12-24,-0.31671368257920607,13239.962
2021-12-31,0.7107724327305442,13334.068
2022-01-07,0.06160160575152673,13342.282000000001
2022-01-14,1.9130760390164037,13597.529999999999
2022-01-21,1.250653611354413,13767.588
2022-01-28,-0.18662673519863615,13741.894
2022-02-04,1.1721382802108549,13902.967999999999
2022-02-11,0.4519322780574653,13965.8
2022-02-18,-1.3622277277348882,13775.554
2022-02-25,-3.0009101630322776,13362.162
2022-03-04,-3.0790675940016277,12950.732
2022-03-11,-2.4848942901451454,12628.92
2022-03-18,1.2583340459833448,12787.833999999999
2022-03-25,-0.8001824233877186,12685.508
2022-04-01,0.5473016926086149,12754.936
2022-04-08,1.089272419712639,12893.872
2022-04-15,0.6046127959079994,12971.829999999998
2022-04-22,0.8666626065867433,13084.252
2022-04-29,0.3179088877224068,13125.847999999998
2022-05-06,-0.15489538910804512,13105.516666666668
2022-05-13,-3.0096689562029377,12711.083999999999
2022-05-20,-0.26641315563644685,12677.22
2022-05-27,-1.9864449776843762,12425.394
2022-06-03,0.11495812527151372,12439.678
2022-06-10,1.6601072793041682,12646.189999999999
2022-06-17,-2.8071854052485246,12291.188
2022-06-24,-1.9086356827346496,12056.594000000001
2022-07-01,-0.779125514220691,11962.658
2022-07-08,-2.482057081294131,11665.738000000001
2022-07-15,0.9522929453755768,11776.83
2022-07-22,1.2776952711383238,11927.302
2022-07-29,-0.9443711578695613,11814.664
2022-08-05,0.4263684519508981,11865.038
2022-08-12,1.4174585871532752,12033.22
2022-08-19,1.2124103107896245,12179.112
2022-08-26,-0.056884278591085025,12172.184
2022-09-02,-0.2996504160633684,12135.710000000001
2022-09-09,0.020616840712239792,12138.212
2022-09-16,0.11929269319073121,12152.692
2022-09-23,0.5993569161466317,12225.529999999999
2022-09-30,-2.9188264230671335,11868.688
2022-10-07,-1.7077709010465125,11665.998000000001
2022-10-14,-0.47576726826115134,11610.495
2022-10-21,-3.5092819040015266,11203.05
2022-10-28,-3.269716728926486,10836.742
2022-11-04,-0.06544402367427704,10829.65
2022-11-11,-2.329179613376242,10577.408
2022-11-25,2.2705751730480728,10817.576
2022-12-02,1.2242299014123104,10950.008
2022-12-09,2.771066468627237,11253.439999999999
2022-12-16,-0.203493331816762,11230.539999999999
2022-12-23,-2.341276554822813,10967.602
2022-12-30,-0.6319157095598715,10898.295999999998
2023-01-06,-5.417837797762126,10307.844000000001
2023-01-13,-2.3167453834186946,10069.0375
2023-01-20,2.5825556812158146,10329.076000000001
2023-01-27,-1.266579895433051,10198.25
2023-02-03,0.5787855759566751,10257.276000000002
2023-02-10,3.1135946814728976,10576.645999999999
2023-02-17,0.21937011033557052,10599.848000000002
2023-02-24,0.7369539638681477,10677.964
2023-03-03,1.2657656459602151,10813.122
2023-03-10,-2.05396739258098,10591.024
2023-03-17,-0.7587934839917265,10510.66
2023-03-24,-0.8692508367695195,10419.296
2023-03-31,0.5913259398715454,10480.908
2023-04-07,-0.12634401523224925,10467.666000000001
2023-04-14,0.1325988047383042,10481.545999999998
2023-04-21,-0.017211201477318472,10479.742
2023-04-28,0.0718815405951645,10487.275
2023-05-05,-0.7346283948880816,10410.2325
2023-05-12,1.1024489606740184,10525.0
2023-05-19,2.303847980997631,10767.48
2023-05-26,0.6846913112446229,10841.204000000002
2023-06-02,1.9289739405327744,11050.328
2023-06-09,-0.16842938960724974,11031.716
2023-06-16,1.764603077164062,11226.382000000001
2023-06-23,2.63832105481534,11522.57
2023-07-07,0.7101714287697902,11604.4
2023-07-14,-0.6318637758091827,11531.076
2023-07-21,1.3586459754493019,11687.7425
2023-07-28,1.670634855276787,11883.001999999999
2023-08-04,2.1062691060727,12133.289999999999
2023-08-11,-0.6631342364684212,12052.83
2023-08-18,-0.45045437461574966,11998.5375
2023-08-25,-0.9658885510004822,11882.645
2023-09-01,0.15993913812959448,11901.65
2023-09-08,-0.9659500993559722,11786.686
2023-09-15,-0.32426417400106544,11748.466
2023-09-22,0.31384522881539034,11785.338
2023-10-06,1.3316885777904908,11942.282000000001
2023-10-13,2.559460578807271,12247.939999999999
2023-10-20,-0.26348920716462443,12215.668
2023-10-27,-0.7503478319810242,12124.008
2023-11-03,-1.087429173586818,11992.168
2023-11-10,-0.25685931017643826,11961.365
2023-11-17,-0.0809355788407129,11951.684
2023-11-24,0.2189482252040742,11977.851999999999
2023-12-01,-1.5966468779210041,11786.608
2023-12-08,0.041521699881763574,11791.502
2023-12-15,2.316413973385245,12064.642000000002
2023-12-22,1.1119600565022703,12198.795999999998
2023-12-29,-0.849313325675749,12095.189999999999
2024-01-05,1.323646011348334,12255.2875
2024-01-12,1.5914355334381236,12450.3225
2024-01-19,1.0865220559547861,12585.598000000002
2024-01-26,0.8937835135048644,12698.086
2024-02-02,-1.8021928659169517,12469.242
2024-02-09,0.7396279581389109,12561.467999999999
2024-02-16,1.483887074345147,12747.866
2024-02-23,1.7227824641394829,12967.484
2024-03-01,0.8548767054580519,13078.34
2024-03-08,-1.0224997973748984,12944.614
2024-03-15,-0.16263134613361263,12923.562
2024-03-22,0.6514303100027652,13007.75
2024-03-29,-0.24426976225712105,12975.975999999999
2024-04-05,0.7722270756357785,13076.18
2024-04-19,2.5205679334484365,13405.774
2024-04-26,-0.7413372775044613,13306.391999999998
2024-05-03,0.3645090269398521,13354.895
2024-05-10,0.580139342166297,13432.372
2024-05-17,0.2082283010029773,13460.341999999999
2024-05-24,-0.4342385951263128,13401.892000000002
2024-05-31,-0.502854373098971,13334.5
2024-06-07,-0.9381229142450098,13209.405999999999
2024-06-14,-0.28447910526786524,13171.828
2024-06-21,-0.12016555333094203,13156.0
2024-06-28,1.1113104287017395,13302.204000000002
2024-07-05,-0.13630823884523968,13284.072
2024-07-12,0.8988358388903439,13403.473999999998
2024-07-19,1.0105887473650599,13538.928
2024-07-26,0.8754164288339528,13657.45
2024-08-02,2.267370555996906,13967.115
2024-08-09,-1.5118297515270718,13755.956
2024-08-16,0.6312283929957418,13842.7875
2024-08-23,0.6457213428533448,13932.173333333334
2024-08-30,-0.1070854702736046,13917.254
2024-09-06,-0.08166840958712118,13905.888
2024-09-13,0.3049643431616733,13948.295999999998
2024-09-20,1.6115277928334004,14173.076666666668
2024-09-27,0.987600198780636,14313.05
2024-10-04,-0.9005208533471087,14184.158000000001
2024-10-11,-0.5512628948436737,14105.966
2024-10-18,-0.7101817769871288,14005.788
2024-10-25,0.8206892750340034,14120.732
2024-11-01,0.6743701388851386,14215.957999999999
2024-11-08,1.5547809018569225,14436.985
2024-11-15,2.005868953940171,14726.572
2024-11-22,1.378209402704167,14929.535
2024-11-29,-0.6572810204738544,14831.405999999999
2024-12-06,-0.42674308828170027,14768.114000000001
2024-12-13,-0.360032432035684,14714.944
2024-12-20,0.16254224277034712,14738.862
2024-12-27,-0.5762317334947475,14653.932
2025-01-03,2.525332450020912,15023.9925
2025-01-10,4.5438620925829065,15706.662
2025-01-17,2.018859895246994,16023.7575
2025-01-24,-1.1172753956118053,15844.728
2025-01-31,1.6090020604961008,16099.670000000002
2025-02-07,1.0265924705288976,16264.948
2025-02-14,0.6637832472627725,16372.912
2025-02-21,2.628793216502956,16803.322
2025-02-28,0.6807820501208095,16917.716
2025-03-07,-1.5185856057638003,16660.806
2025-03-14,-1.0161573215605513,16491.506
2025-03-21,3.9274035979491417,17139.194
2025-03-28,3.2158455059205338,17690.364
2025-04-04,-1.7050186191759575,17388.74
2025-04-11,-6.588873029328179,16243.018
2025-04-18,4.882097649587047,17036.018
2025-04-25,1.3350537666724893,17263.458000000002
2025-05-02,0.9564103553297398,17428.5675
2025-05-09,0.9570178386720585,17595.362
2025-05-16,2.16206975451827,17975.786
2025-05-23,0.35670206576781105,18039.906
2025-05-30,-0.20956871948224487,18002.1
2025-06-06,2.6771321123646885,18484.04
2025-06-13,0.4252858141402083,18562.65
2025-06-20,-3.347571602115007,17941.252
2025-07-04,3.0745457451910374,18492.864
2025-07-11,2.005995393682647,18863.829999999998
2025-07-18,0.3549332240589509,18930.784
2025-07-25,1.554156446980759,19224.998
2025-08-01,1.3850820686691412,19491.28
2025-08-08,0.9741587007112917,19681.156
2025-08-15,0.8970585874122472,19857.7075
2025-08-22,-0.3797056298333157,19782.306666666667
2025-08-29,1.5951392254223151,20097.862
2025-09-12,-1.3757781797884783,19821.36
2025-09-19,-0.5257358728159911,19717.152000000002
2025-09-26,-0.4751497579366548,19623.466
2025-10-03,-4.546413971925234,18731.302000000003
2025-10-10,0.4517251390212973,18815.916
2025-10-17,-2.1485640135723405,18411.644
2025-10-24,4.877152740950241,19309.608
2025-10-31,0.9545299935658891,19493.924
2025-11-07,-0.037493733945004326,19486.614999999998
2025-11-14,-3.7720917665792664,18751.561999999998
2025-11-21,-2.645323626906382,18255.5225
2025-11-28,1.3392851396063943,18500.016
2025-12-05,-0.52671305797789,18402.574
2025-12-12,0.5484558844865761,18503.503999999997
2025-12-19,1.2262758448346123,18730.408000000003
